source (en),translation (zh_CN)
The Howler,呐喊者座
The Crab,巨蟹座
The Greater Dog,大犬座
The Lesser Dog,小犬座
The Young Goat,小羊座
Who (Lady) Has Chair,座女座
Centaur,半人马座
Inflammatus,仙王座
Cetus,鲸鱼座
Bristle,鬃毛座
The Southern Crown,南冕座
The Northern Crown,北冕座
The Raven,乌鸦座
The Great Cup,巨杯座
The Hen,天鹅座
The Dolphin,海豚座
The Dragon,天龙座
Part of the Horse,马头座
The River,波江座
The Twins,双子座
The Kneeling (Man),跪地者座
The Brave,勇蛇座
The Lion,狮子座
The Hare,野兔座
The Balance,天平座
The Turtle,乌龟座
The Snake Charmer,蛇夫座
The Giant,巨人座
The Great Horse,大马座
Bearer of the Demon's Head,英仙座
The Whale,双鱼座
The Southern Whale,南鱼座
The Arrow,天箭座
The Archer,射手座
The Scorpion,天蝎座
The Bull,公牛座
The Triangle,三角座
The Greater Bear,大熊座
The Lesser Bear,小熊座
The Ship,天船座
The Maiden,室女座
The Snake,巨蛇座
The Beast of Prey,猛兽座
