ID,±êÊ¶,M±êÊ¶,ÍØÕ¹Ãû,×é¼þ,Class,ÒµÓàÅÅÃû,ÖÐÎÄÃû,ÀàÐÍ,º¬ÖØ¸´ÀàÐÍ,ÐÎÌ¬,ÐÇ×ù(Zh),ÐÇ×ù(En),³à¾­(J2000),³à¾­D(J2000),³àÎ³(J2000),³àÎ³D(J2000),¿É¼û¹âÐÇµÈV,ÉãÓ°(À¶¹â)ÐÇµÈB,B-V,±íÃæÁÁ¶È(mag/arcmin2),³¤Öá(·Ö),¶ÌÖá(·Ö),·½Î»½Ç,ÏêÏ¸ÃèÊö,¼òÂÔÃèÊö
6057,NGC6057,NGC6057,,,,19,,Gxy,Gxy,E2,ÎäÏÉ×ù,HER,16h5m39.5s,16.09430556,+18h9m53s,18.16472222,14.7,15.7,1,13.4,0.6,0.5,159,"most extremely faint, small, round, very difficult","eeF, eS, R"
6058,NGC6058,NGC6058,,,III 637,6.5,,PN,PN,PN,ÎäÏÉ×ù,HER,16h4m26.6s,16.07405556,+40h41m1s,40.68361111,12.9,13.3,99,99,0.67,,,"pretty faint, very small, round, stellar","pF, vS, R, stellar"
6059,NGC6059,NGC6059,,,,19,,NF,NF,NF,Éß·ò×ù,OPH,16h7m13.2s,16.12033333,-6h24m47s,-6.413055556,99,99,99,99,,,,"very faint, small, round","vF, S, R"
6060,NGC6060,NGC6060,,,,18,,Gxy,Gxy,SBc,ÎäÏÉ×ù,HER,16h5m52.2s,16.09783333,+21h29m4s,21.48444444,13.1,13.8,0.7,13.8,2,1.1,105,"extremely faint, extended, suddenly brighter middle","eF, E, sbM"
6061,NGC6061,NGC6061,,,,19,,Gxy,Gxy,E-S0,ÎäÏÉ×ù,HER,16h6m16.1s,16.10447222,+18h15m0s,18.25,13.6,14.7,1.1,13.3,1,0.8,66,"most extremely faint, small, round, 4 bright stars to south","eeF, S, R, 4 B st s"
6062,NGC6062,NGC6062,,,,19,,Gxy,Gxy,SBbc,ÎäÏÉ×ù,HER,16h6m22.9s,16.10636111,+19h46m37s,19.77694444,13.6,14.2,0.6,13.5,1.2,0.9,10,"extremely faint, round, a very little brighter middle, mottled but not resolved","eF, R, vlbM, r"
6063,NGC6063,NGC6063,,,,19,,Gxy,Gxy,Sc,¾ÞÉß×ù,SER,16h7m13.1s,16.12030556,+7h58m46s,7.979444444,13.1,13.8,0.7,13.4,1.7,0.9,159,"faint, pretty large, round, a very little brighter middle","F, pL, R, vlbM"
6064,NGC6064,NGC6064,,2,III 140,15,,Gxy,Gxy,S/P,ÎäÏÉ×ù,HER,16h5m13.2s,16.087,+20h32m32s,20.54222222,13,13.8,0.8,12.3,0.8,0.3,175,"faint, pretty large, irregularly round, (? = (WH) III 140)","vF, vS, r, pB * sf (? = m 302)"
6065,NGC6065,NGC6065,,,,19,,Gxy,Gxy,S0,¾ÞÉß×ù,SER,16h7m22.9s,16.12302778,+13h53m18s,13.88833333,14,15,1,13.1,0.8,0.6,6,"most extremely faint, very small, round, southwestern of 2","eeF, vS, R, sp of 2"
6066,NGC6066,NGC6066,,,,19,,Gxy,Gxy,E,¾ÞÉß×ù,SER,16h7m35.2s,16.12644444,+13h56m39s,13.94416667,14,14.8,0.8,12.9,0.7,0.6,135,"most extremely faint, very small, round, 2 pretty bright stars near to south, northeastern of 2","eeF, vS, R, 2 pB st nr, nf of 2"
