ID,±êÊ¶,M±êÊ¶,ÍØÕ¹Ãû,×é¼þ,Class,ÒµÓàÅÅÃû,ÖÐÎÄÃû,ÀàÐÍ,º¬ÖØ¸´ÀàÐÍ,ÐÎÌ¬,ÐÇ×ù(Zh),ÐÇ×ù(En),³à¾­(J2000),³à¾­D(J2000),³àÎ³(J2000),³àÎ³D(J2000),¿É¼û¹âÐÇµÈV,ÉãÓ°(À¶¹â)ÐÇµÈB,B-V,±íÃæÁÁ¶È(mag/arcmin2),³¤Öá(·Ö),¶ÌÖá(·Ö),·½Î»½Ç,ÏêÏ¸ÃèÊö,¼òÂÔÃèÊö
9532,IC1692,IC1692,,,,20,,Gxy,Gxy,E3,Ë«Óã×ù,PSC,1h24m39.7s,1.411027778,+33h14m7s,33.23527778,14.6,15.6,1,12.4,0.4,0.3,140,"faint, very small, round, gradually brighter middle, mottled but not resolved","F, vS, R, gbM, r"
9533,IC1693,IC1693,,,,20,,Gxy,Gxy,S0,¾¨Óã×ù,CET,1h24m2.3s,1.400638889,-1h39m25s,-1.656944444,15.2,16.2,1,12.6,0.5,0.2,162,,"eF, vS, possibly F *"
9534,IC1694,IC1694,,,,20,,Gxy,Gxy,S,¾¨Óã×ù,CET,1h24m47.7s,1.41325,+1h36m28s,1.607777778,14.1,14.9,0.8,12.4,0.6,0.4,3,"very faint, small, much brighter middle","vF, S, mbM"
9535,IC1695,IC1695,,,,20,,Gxy,Gxy,C,Ë«Óã×ù,PSC,1h25m7.5s,1.41875,+8h41m57s,8.699166667,14,15,1,13.1,0.7,0.7,,,"eF, pS, R, * 10 att p"
9536,IC1696,IC1696,,,,20,,Gxy,Gxy,E1,¾¨Óã×ù,CET,1h24m52.4s,1.414555556,-1h37m2s,-1.617222222,13.6,14.6,1,13.2,0.9,0.8,10,,"eF, eS, 530 np"
9537,IC1697,IC1697,,,,20,,Gxy,Gxy,S,¾¨Óã×ù,CET,1h25m2.9s,1.417472222,+0h26m42s,0.445,13.8,14.6,0.8,13,0.9,0.6,110,"faint, very small, round, gradually brighter middle","F, vS, R, gbM"
9538,IC1698,IC1698,,,,20,,Gxy,Gxy,S0,Ë«Óã×ù,PSC,1h25m22.1s,1.422805556,+14h50m18s,14.83833333,13.5,14.5,1,12.7,1.3,0.4,120,"pretty bright, small, irregular figure, brighter middle and nucleus","pB, S, iF, bMN"
9539,IC1699,IC1699,,,,20,,NF,NF,NF,Ë«Óã×ù,PSC,1h25m5.6s,1.418222222,+14h54m40s,14.91111111,99,99,99,99,,,,"very faint, very small, round, gradually brighter middle","vF, vS, R, gbM"
9540,IC1700,IC1700,,,,20,,Gxy,Dup,E3,Ë«Óã×ù,PSC,1h25m24.7s,1.423527778,+14h51m53s,14.86472222,12.9,13.9,1,12.6,1,0.7,27,"pretty bright, small, round, gradually brighter middle and nucleus","pB, S, R, gbMN"
9541,IC1701,IC1701,,,,20,,Gxy,Gxy,C,Ë«Óã×ù,PSC,1h25m50.3s,1.430638889,+18h11m6s,18.185,14.4,15.4,1,14.4,1.2,1,99,,"F, S, dif, N 13 mag"
9542,IC1702,IC1702,,,,20,,Gxy,Gxy,Sc,Ë«Óã×ù,PSC,1h25m56.2s,1.432277778,+16h36m4s,16.60111111,13.6,14.3,0.7,13.6,1.2,1,170,"most extremely faint, pretty small, a little extended, very difficult, between 2 stars north and south","eeF, pS, lE, v diffic, bet 2 st ns"
9543,IC1703,IC1703,,,,20,,Gxy,Dup,SB0-a,¾¨Óã×ù,CET,1h26m25.1s,1.440305556,-1h38m18s,-1.638333333,13.5,14.4,0.9,13.4,1.8,0.6,123,"extremely faint, small, diffuse","eF, S, dif"
9544,IC1704,IC1704,,,,20,,Gxy,Gxy,Sbc,Ë«Óã×ù,PSC,1h27m9.5s,1.452638889,+14h46m33s,14.77583333,13.3,14.1,0.8,13,1.1,0.8,165,"pretty bright, pretty small, diffuse, irregular figure, gradually a very little brighter middle","pB, pS, dif, iF, gvlbM"
9545,IC1705,IC1705,,,,20,,Gxy,Gxy,E2,¾¨Óã×ù,CET,1h26m44.8s,1.445777778,-3h30m6s,-3.501666667,13.4,14.4,1,12.9,0.9,0.7,3,,"Neb * 12, F D * nf 2'"
9546,IC1706,IC1706,,1,,20,,Gxy,Gxy,C,Ë«Óã×ù,PSC,1h27m30.8s,1.458555556,+14h49m9s,14.81916667,15,16,1,12.2,0.3,0.3,,"faint, small, diffuse, very little brighter middle","F, S, dif, vlbM"
9547,IC1707,IC1707,,,,20,,NF,NF,NF,ÏÉÅ®×ù,AND,1h28m0s,1.466666667,+37h7m2s,37.11722222,99,99,99,99,,,,,"eF, dif, * 13.3 close"
9548,IC1708,IC1708,,,,20,,OCL,OCL,OCL,Ë®Éß×ù,HYI,1h24m56.5s,1.415694444,-71h11m2s,-71.18388889,99,99,99,99,,,,"very faint, very small, round, 9th magnitude star 4 arcmin to southeast","vF, vS, R, * 9 sf 4'"
9549,IC1709,IC1709,,,,20,,Gxy,Dup,E-S0,Óñ·ò×ù,SCL,1h27m56.9s,1.465805556,-35h43m3s,-35.7175,12.6,13.6,1,13.7,2.2,1.3,140,"extremely faint, pretty small, round, very difficult","eF, pS, R, v diffic"
9550,IC1710,IC1710,,,,20,,Gxy,Dup,SBc,Ë«Óã×ù,PSC,1h30m46.4s,1.512888889,+21h26m25s,21.44027778,12.8,13.5,0.7,13.7,1.7,1.6,66,,"F, pL, dif, * 13.5 att"
9551,IC1711,IC1711,,,,20,,Gxy,Gxy,Sb,Ë«Óã×ù,PSC,1h30m55.2s,1.515333333,+17h11m20s,17.18888889,13.6,14.4,0.8,13.7,2.6,0.5,43,"faint, pretty large, extended 260¡ã, gradually brighter middle","F, pL, E 260¡ã, gbM"
9552,IC1712,IC1712,,,,20,,Gxy,Dup,E4,¾¨Óã×ù,CET,1h31m20.5s,1.522361111,-6h52m2s,-6.867222222,10.5,11.4,0.9,12.9,4.1,2,72,no description,No descr
9553,IC1713,IC1713,,,,20,,Star(s),Star(s),*,Èý½Ç×ù,TRI,1h32m43.8s,1.5455,+35h19m28s,35.32444444,99,14,99,99,,,,"13th magnitude star, nebulous?","* 13, nebs ?"
9554,IC1714,IC1714,,,,20,,Gxy,Gxy,SB,¾¨Óã×ù,CET,1h32m53.1s,1.548083333,-13h1m29s,-13.02472222,15.2,16,0.8,13.5,0.5,0.5,,,"eeF, S, lE, v dif, * 8 n"
9555,IC1715,IC1715,,,,20,,Gxy,Gxy,Im,Ë«Óã×ù,PSC,1h33m34.4s,1.559555556,+12h35m8s,12.58555556,14,14.6,0.6,12.7,0.7,0.5,100,"faint, small, round, nuclear, mottled but not resolved","F, S, R, N, r"
9556,IC1716,IC1716,,,,20,,Star(s),Star(s),*,¾¨Óã×ù,CET,1h33m26.8s,1.557444444,-12h18m29s,-12.30805556,99,15.3,99,99,,,,"extremely faint, mottled but not resolved, possibly nebulous","eF, r, neb ?"
9557,IC1717,IC1717,,,,20,,NF,NF,NF,Ë®Éß×ù,HYI,1h32m30s,1.541666667,-67h32m0s,-67.53333333,99,99,99,99,,,,"extremely faint, extremely small, much extended 25¡ã, stellar nucleus","eF, eS, mE 25¡ã, stell N"
9558,IC1718,IC1718,,,,20,,Gxy,Gxy,C,Èý½Ç×ù,TRI,1h38m26.9s,1.640805556,+33h21m55s,33.36527778,14.4,15.4,1,12.2,0.6,0.3,129,,"F, pS, pR, * 13.5 att"
9559,IC1719,IC1719,,,,20,,Gxy,Gxy,S0,Óñ·ò×ù,SCL,1h37m35.8s,1.626611111,-33h55m27s,-33.92416667,12.6,13.6,1,13.2,1.6,1.2,174,,"vF, S, R, cF * nr nf"
9560,IC1720,IC1720,,,,20,,Gxy,Gxy,Sbc,Óñ·ò×ù,SCL,1h40m21.4s,1.672611111,-28h54m50s,-28.91388889,12.9,13.7,0.8,13.3,1.5,1.1,162,"extremely faint, extremely small, round, bright star to west","eF, eS, R, B * p"
9561,IC1721,IC1721,,,,20,,Gxy,Gxy,S?,Ë«Óã×ù,PSC,1h41m24.4s,1.690111111,+8h31m34s,8.526111111,13.3,14.2,0.9,12.4,1,0.5,94,"pretty bright, pretty small, extended east-west, gradually brighter middle, mottled but not resolved","pB, pS, E pf, gbM, r"
9562,IC1722,IC1722,,,,20,,Gxy,Gxy,SBbc,Óñ·ò×ù,SCL,1h43m2.7s,1.717416667,-34h11m17s,-34.18805556,13.9,14.7,0.8,13.4,1.5,0.5,50,"faint, small, considerably extended 45¡ã","F, S, cE 45¡ã"
9563,IC1723,IC1723,,,,20,,Gxy,Gxy,Sb,Ë«Óã×ù,PSC,1h43m14.1s,1.720583333,+8h53m20s,8.888888889,13.1,13.9,0.8,14,3.3,0.8,29,"faint, pretty large, extended 200¡ã, gradually a little brighter middle","F, pL, E 200¡ã, glbM"
9564,IC1724,IC1724,,,,20,,Gxy,Gxy,S0-a,Óñ·ò×ù,SCL,1h43m9.5s,1.719305556,-34h14m32s,-34.24222222,12.9,13.8,0.9,12.3,1.3,0.5,126,,"F, S, cE 175¡ã"
9565,IC1725,IC1725,,,,20,,Gxy,Gxy,Sc,Ë«Óã×ù,PSC,1h45m11.9s,1.753305556,+21h46m36s,21.77666667,14.6,15.3,0.7,11.8,0.3,0.3,,"faint, small, pretty round, diffuse","F, S, pR, dif"
9566,IC1726,IC1726,,,,20,,Gxy,Gxy,C,Ë«Óã×ù,PSC,1h45m19.6s,1.755444444,+4h37m9s,4.619166667,13.8,14.8,1,11.3,0.3,0.2,24,"faint, very small, gradually brighter middle, 13.5 magnitude star close","F, vS, gbM, * 13.5 close"
9567,IC1727,IC1727,,,,20,,Gxy,Gxy,SBm,Èý½Ç×ù,TRI,1h47m30s,1.791666667,+27h19m57s,27.3325,11.5,12.1,0.6,14.7,5.7,2.4,150,,"F, L, st inv, I 157 nf"
9568,IC1728,IC1728,,,,20,,Gxy,Gxy,SBbc,ÌìÂ¯×ù,FOR,1h47m44.4s,1.795666667,-33h36m6s,-33.60166667,13.3,14.1,0.8,13.3,1.3,0.8,3,"faint, small, extended 160¡ã, much brighter middle","F, S, E 160¡ã, mbM"
9569,IC1729,IC1729,,,,20,,Gxy,Gxy,E-S0,ÌìÂ¯×ù,FOR,1h47m55.2s,1.798666667,-26h53m31s,-26.89194444,12.6,13.5,0.9,13,1.6,0.9,150,"pretty bright, extremely small, almost stellar, partially resolved? perhaps some stars seen?","pB, eS, alm stell, rr ?"
9570,IC1730,IC1730,,,,20,,Gxy,Gxy,S0,°×Ñò×ù,ARI,1h49m57.9s,1.83275,+22h0m46s,22.01277778,14.4,15.4,1,13.3,0.8,0.5,65,"faint, small, round, gradually brighter middle","F, S, R, gbM"
9571,IC1731,IC1731,,,,20,,Gxy,Gxy,SBc,Èý½Ç×ù,TRI,1h50m12.5s,1.836805556,+27h11m46s,27.19611111,13.3,14,0.7,13.6,1.5,1,140,"faint, extended northwest southeast, brighter middle, probably spiral","F, E npsf, bM, prob spir"
9572,IC1732,IC1732,,,,20,,Gxy,Gxy,S?,ÏÉÅ®×ù,AND,1h50m48s,1.846666667,+35h55m59s,35.93305556,14,14.9,0.9,13.3,1.5,0.4,62,"very faint, pretty small, much brighter middle, perhaps extremely faint star involved","vF, pS, mbM, ? eF st inv"
9573,IC1733,IC1733,,,,20,,Gxy,Gxy,E2,Èý½Ç×ù,TRI,1h50m42.9s,1.84525,+33h4m56s,33.08222222,13,14.1,1.1,13.7,1.2,1,50,"faint, very small, pretty round, mottled but not resolved","F, vS, pR, r"
9574,IC1734,IC1734,,,,20,,Gxy,Gxy,SBc,ÌìÂ¯×ù,FOR,1h49m16.8s,1.821333333,-32h44m36s,-32.74333333,12.8,13.4,0.6,13.4,1.6,1.4,28,,"vF, pS, lE 100¡ã, bM"
9575,IC1735,IC1735,,,,20,,Gxy,Gxy,S0,Èý½Ç×ù,TRI,1h50m51.8s,1.847722222,+33h5m31s,33.09194444,15.2,16,0.8,13,0.5,0.3,149,"very faint, very small, round","vF, vS, R"
9576,IC1736,IC1736,,,,20,,Gxy,Gxy,Sbc,°×Ñò×ù,ARI,1h50m53.2s,1.848111111,+18h18m9s,18.3025,14.1,14.9,0.8,13.1,1.1,0.4,120,"faint, pretty small, extended 210¡ã, gradually a little brighter middle","F, pS, E 210¡ã, glbM"
9577,IC1737,IC1737,,,,20,,Star(s),Star(s),*2,ÏÉÅ®×ù,AND,1h51m42.4s,1.861777778,+36h15m0s,36.25,99,99,99,99,,,,,"eF, 3 or 4 vF st in neb"
9578,IC1738,IC1738,,,,20,,Gxy,Gxy,SBb,¾¨Óã×ù,CET,1h51m7.7s,1.852138889,-9h47m35s,-9.793055556,13.9,14.7,0.8,13.2,0.9,0.7,80,,"eF, vS, I 62 p"
9579,IC1739,IC1739,,,,20,,Gxy,Gxy,Sb,ÌìÂ¯×ù,FOR,1h50m29.3s,1.841472222,-34h3m20s,-34.05555556,14.1,14.9,0.8,13,0.8,0.5,94,"considerably faint, considerably small, round, much brighter middle","cF, cS, R, mbM"
9580,IC1740,IC1740,,,,20,,Star(s),Star(s),*2,ÌìÂ¯×ù,FOR,1h48m51.6s,1.814333333,-30h5m11s,-30.08638889,99,99,99,99,,,,,"pB, eS, lE, like D *"
9581,IC1741,IC1741,,,,20,,Gxy,Gxy,S0-a,¾¨Óã×ù,CET,1h51m56.7s,1.86575,-16h47m15s,-16.7875,14.2,15.1,0.9,12.8,0.8,0.4,171,,"eF, eS, ? = 690"
9582,IC1742,IC1742,,,,20,,Gxy,Gxy,Sc,°×Ñò×ù,ARI,1h53m14.3s,1.887305556,+22h43m16s,22.72111111,14.2,14.9,0.7,12.7,0.8,0.5,36,"faint, small, a little extended east-west, gradually a little brighter middle","F, S, lE pf, glbM"
9583,IC1743,IC1743,,,,20,,Gxy,Dup,SBa,°×Ñò×ù,ARI,1h52m59.5s,1.883194444,+12h42m30s,12.70833333,12.9,13.8,0.9,13,1.8,0.8,57,,"vF, pS, lbM, dif, ? = 716"
9584,IC1744,IC1744,,,,20,,Gxy,Dup,S0,°×Ñò×ù,ARI,1h53m38.8s,1.894111111,+19h50m27s,19.84083333,13.2,14.2,1,13.6,1.4,1.1,150,"faint, small, round, gradually a little brighter middle","F, S, R, glbM"
9585,IC1745,IC1745,,,,20,,Gxy,Gxy,S,¾¨Óã×ù,CET,1h52m59s,1.883055556,-16h40m9s,-16.66916667,15.4,16.2,0.8,13.2,0.5,0.3,130,"extremely faint, extremely small","eF, eS"
9586,IC1746,IC1746,,,,20,,Gxy,Gxy,S0,Ë«Óã×ù,PSC,1h54m24.2s,1.906722222,+4h48m13s,4.803611111,13.8,14.8,1,13,1.4,0.5,93,"faint, small, pretty round, gradually brighter middle","F, S, pR, gbM"
9587,IC1747,IC1747,,,,13,,PN,PN,PN,ÏÉºó×ù,CAS,1h57m35.8s,1.959944444,+63h19m22s,63.32277778,12,13.6,99,99,0.32,,,"planetary, stellar","Planetary, stell"
9588,IC1748,IC1748,,,,20,,Gxy,Gxy,SBbc,°×Ñò×ù,ARI,1h56m8.8s,1.935777778,+17h38m28s,17.64111111,13.7,14.5,0.8,13,1,0.7,130,very faint,vF
9589,IC1749,IC1749,,,,20,,Gxy,Gxy,S0,Ë«Óã×ù,PSC,1h56m11s,1.936388889,+6h44m44s,6.745555556,13.6,14.6,1,13,0.9,0.7,149,"faint, small, extended north-south, binuclear, mottled but not resolved","F, S, E ns, biN, r"
9590,IC1750,IC1750,,,,20,,Gxy,Gxy,S0-a,Ë«Óã×ù,PSC,1h56m18.7s,1.938527778,+4h4m35s,4.076388889,14.6,15.5,0.9,12.6,0.9,0.2,64,"very faint, very small, pretty round, nuclear","vF, vS, pR, N"
9591,IC1751,IC1751,,,,20,,Gxy,Dup,E0,Ë«Óã×ù,PSC,1h56m20.9s,1.939138889,+5h37m43s,5.628611111,11.1,12.2,1.1,13.4,3,2.9,90,"pretty bright, pretty small, round, 9th magnitude star to northwest","pB, pS, R, * 9 np"
9592,IC1752,IC1752,,,,20,,Gxy,Gxy,C,Èý½Ç×ù,TRI,1h57m15.4s,1.954277778,+28h36m51s,28.61416667,15.3,16.3,1,12.1,0.3,0.2,110,,"F, vS, * 14.5 att"
9593,IC1753,IC1753,,,,20,,Gxy,Gxy,E?,Èý½Ç×ù,TRI,1h57m19.3s,1.955361111,+28h35m22s,28.58944444,13.9,14.9,1,12,0.4,0.4,,,"F, vS, dif, * 14.5 close"
9594,IC1754,IC1754,,,,20,,Gxy,Gxy,C,Ë«Óã×ù,PSC,1h56m49.8s,1.947166667,+4h1m34s,4.026111111,14.5,15.5,1,13.9,0.8,0.8,,"faint, small, gradually brighter middle","F, S, gbM"
9595,IC1755,IC1755,,,,20,,Gxy,Gxy,Sa,°×Ñò×ù,ARI,1h57m9.8s,1.952722222,+14h32m59s,14.54972222,13.8,14.7,0.9,12.7,1.4,0.3,154,"faint, small, diffuse","F, S, dif"
9596,IC1756,IC1756,,,,20,,Gxy,Gxy,Sc,¾¨Óã×ù,CET,1h57m5.2s,1.951444444,-0h28m6s,-0.468333333,14.6,15.3,0.7,13,1.4,0.2,155,,"vF, E npsf, * 13 close sf"
9597,IC1757,IC1757,,,,20,,Gxy,Gxy,P,¾¨Óã×ù,CET,1h57m11.5s,1.953194444,-0h28m25s,-0.473611111,15.7,16.5,0.8,13.2,0.6,0.2,60,"extremely faint, very small, round","eF, vS, R"
9598,IC1758,IC1758,,,,20,,Gxy,Gxy,S0,¾¨Óã×ù,CET,1h56m52.5s,1.947916667,-16h32m30s,-16.54166667,15,16,1,12.6,0.6,0.2,45,,"F, eS, sbM * 11"
9599,IC1759,IC1759,,,,20,,Gxy,Gxy,Sbc,ÌìÂ¯×ù,FOR,1h57m55.5s,1.965416667,-32h59m14s,-32.98722222,12.9,13.7,0.8,13.6,1.5,1.4,169,,"pB, vS, R, bM, * 10 close sp"
9600,IC1760,IC1760,,,,20,,Gxy,Dup,Sbc,ÌìÂ¯×ù,FOR,1h57m55.5s,1.965416667,-32h59m14s,-32.98722222,12.9,13.7,0.8,13.6,1.5,1.4,169,"extremely faint, pretty small, round (PD may be 123¡ã)","eF, pS, R [? PD 123¡ã]"
9601,IC1761,IC1761,,,,20,,Gxy,Gxy,S0-a,¾¨Óã×ù,CET,1h58m52.2s,1.981166667,+0h34m8s,0.568888889,14.4,15.3,0.9,13.4,0.9,0.5,45,"very faint, very small, round, gradually brighter middle and nucleus","vF, vS, R, gbMN"
9602,IC1762,IC1762,,,,20,,Gxy,Gxy,SBbc,ÌìÂ¯×ù,FOR,1h57m48.6s,1.9635,-33h14m23s,-33.23972222,13.5,14.3,0.8,13.5,1.8,0.4,43,"most extremely faint, pretty small, round, 7th magnitude star to northeast","eeF, pS, R, * 7 nf"
9603,IC1763,IC1763,,,,20,,Gxy,Gxy,Sbc,ÌìÂ¯×ù,FOR,1h59m11.5s,1.986527778,-27h48m41s,-27.81138889,13.8,14.6,0.8,13.6,1,0.8,32,,"eeF, S, R, * 8 ssf"
9604,IC1764,IC1764,,,,20,,Gxy,Gxy,SBb,°×Ñò×ù,ARI,2h0m23.3s,2.006472222,+24h34m47s,24.57972222,13.3,14.1,0.8,13.1,1.2,0.8,174,"faint, very small, round, a little brighter middle","F, vS, R, lbM"
9605,IC1765,IC1765,,,,20,,Gxy,Dup,Sc,Èý½Ç×ù,TRI,2h1m6.6s,2.0185,+31h52m55s,31.88194444,12.2,12.9,0.7,12.9,1.6,1.4,35,,S * att p
9606,IC1766,IC1766,,,,20,,Gxy,Dup,E-S0,Èý½Ç×ù,TRI,2h1m40s,2.027777778,+31h49m36s,31.82666667,13,14,1,13.3,1.5,1.1,83,no description,No descr
9607,IC1767,IC1767,,,,20,,Gxy,Gxy,S0-a,¾¨Óã×ù,CET,1h59m59.4s,1.999833333,-11h4m43s,-11.07861111,13.6,14.5,0.9,13.7,1.8,0.7,75,,"eF, pS, bet 2 st 10.5, 2 st n"
9608,IC1768,IC1768,,,,20,,Gxy,Gxy,S0,ÌìÂ¯×ù,FOR,2h0m49.8s,2.013833333,-25h1m35s,-25.02638889,13,14,1,12.1,0.7,0.7,,,"eeF, pS, R, 3 st 9 sf, v diffic"
9609,IC1769,IC1769,,,,20,,Gxy,Gxy,Sbc,ÌìÂ¯×ù,FOR,2h0m54.8s,2.015222222,-31h55m14s,-31.92055556,14.7,15.5,0.8,12.6,0.8,0.2,77,"extremely faint, extremely small, much extended 80¡ã","eF, eS, mE 80¡ã"
9610,IC1770,IC1770,,,,20,,Gxy,Gxy,S0,Ë«Óã×ù,PSC,2h2m14.4s,2.037333333,+9h58m51s,9.980833333,13.8,14.8,1,13.3,1,0.7,63,"faint, very small, round, stellar","F, vS, R, stell"
9611,IC1771,IC1771,,,,20,,Gxy,Gxy,S0,Ë«Óã×ù,PSC,2h2m15.8s,2.037722222,+9h58m7s,9.968611111,14.2,15.2,1,12.6,0.5,0.5,,"faint, very small, round, stellar","F, vS, R, stell"
9612,IC1772,IC1772,,,,20,,Gxy,Gxy,C,Ë«Óã×ù,PSC,2h2m42.8s,2.045222222,+7h44m44s,7.745555556,13.6,14.6,1,12.7,0.7,0.7,,,"F, S, slbM, * 8.5 166"" n"
9613,IC1773,IC1773,,,,20,,Gxy,Dup,S0,Èý½Ç×ù,TRI,2h4m2.2s,2.067277778,+30h49m57s,30.8325,13.7,14.7,1,12.6,1.4,0.3,7,"very faint, very small, gradually brighter middle, mottled but not resolved","vF, vS, gbM, r"
9614,IC1774,IC1774,,,,20,,Gxy,Gxy,SBcd,°×Ñò×ù,ARI,2h3m59s,2.066388889,+15h19m4s,15.31777778,13.9,14.6,0.7,14.5,1.6,1.2,140,"very faint, diffuse","vF, dif"
9615,IC1775,IC1775,,,,20,,Gxy,Gxy,SBbc,°×Ñò×ù,ARI,2h5m17.5s,2.088194444,+13h30m20s,13.50555556,15,15.8,0.8,14.1,0.7,0.7,,"faint, small, diffuse, 13.5 magnitude star near","F, S, dif, * 13.5 nr"
9616,IC1776,IC1776,,,,20,,Gxy,Gxy,SBcd,Ë«Óã×ù,PSC,2h5m15.1s,2.087527778,+6h6m20s,6.105555556,13.2,13.9,0.7,13.4,1.3,1.1,159,"faint, pretty large, irregularly round, diffuse","F, pL, iR, dif"
9617,IC1777,IC1777,,,,20,,Gxy,Gxy,S,°×Ñò×ù,ARI,2h6m8.6s,2.102388889,+15h12m36s,15.21,14.8,15.6,0.8,13.9,0.7,0.7,,"faint, extremely small, round, stellar","F, eS, R, stell"
9618,IC1778,IC1778,,,,20,,Gxy,Dup,Sab,Ë«Óã×ù,PSC,2h6m19.4s,2.105388889,+9h13m38s,9.227222222,14,14.8,0.8,13.8,1.4,0.8,25,"faint, small, round, gradually brighter middle and nucleus","F, S, R, gbMN"
9619,IC1779,IC1779,,,,20,,Gxy,Gxy,E3,Ë«Óã×ù,PSC,2h6m25.9s,2.107194444,+3h42m23s,3.706388889,13.8,14.8,1,11.6,0.4,0.3,100,"faint, small, round, 14th magnitude star near","F, S, R, * 14 nr"
9620,IC1780,IC1780,,,,20,,Gxy,Gxy,S?,°×Ñò×ù,ARI,2h6m51.1s,2.114194444,+14h43m20s,14.72222222,14.9,15.8,0.9,13.1,0.7,0.3,9,,"F, S, dif, sev st 9?10 nr"
9621,IC1781,IC1781,,,,20,,Gxy,Gxy,S?,¾¨Óã×ù,CET,2h6m52.8s,2.114666667,-0h31m5s,-0.518055556,14.5,15.3,0.8,12.4,0.4,0.4,,"faint, very small, round, nuclear","F, vS, R, N"
9622,IC1782,IC1782,,,,20,,Gxy,Dup,E-S0,ÌìÂ¯×ù,FOR,2h7m20s,2.122222222,-25h26m30s,-25.44166667,12.8,13.8,1,13.7,1.7,1.3,102,,"vF, D * in neb"
9623,IC1783,IC1783,,,,20,,Gxy,Gxy,Sb,ÌìÂ¯×ù,FOR,2h10m6s,2.168333333,-32h56m23s,-32.93972222,12.5,13.2,0.7,12.9,2,0.8,3,"pretty faint, very small, much extended north-south, faint star to west","pF, vS, mE ns, F * p"
9624,IC1784,IC1784,,,,20,,Gxy,Gxy,Sb/P,Èý½Ç×ù,TRI,2h16m12.8s,2.270222222,+32h38m57s,32.64916667,13.1,14,0.9,13.5,1.4,0.7,88,"faint, large, extended east-west, gradually brighter middle","F, L, E pf, gbM"
9625,IC1785,IC1785,,,,20,,Gxy,Gxy,E-S0,Èý½Ç×ù,TRI,2h16m21s,2.2725,+32h40m1s,32.66694444,14.7,15.7,1,13.7,0.9,0.4,144,"faint, small, round, stellar","F, S, R, stell"
9626,IC1786,IC1786,,,,20,,Gxy,Gxy,S,¾¨Óã×ù,CET,2h16m5.5s,2.268194444,+5h8m46s,5.146111111,14.4,15.2,0.8,11.5,0.4,0.2,160,"very faint, very small, round, nuclear","vF, vS, R, N"
9627,IC1787,IC1787,,,,20,,Gxy,Dup,Sc,¾¨Óã×ù,CET,2h16m10.6s,2.269611111,-11h55m32s,-11.92555556,13.6,14.3,0.7,13.6,2.2,0.5,39,"extremely faint, very much extended, between 2 stars east and west, 8th magnitude star to northeast","eF, vmE, bet 2 st pf, * 8 nf"
9628,IC1788,IC1788,,,,20,,Gxy,Gxy,SBbc,ÌìÂ¯×ù,FOR,2h15m50.2s,2.263944444,-31h12m4s,-31.20111111,11.6,12.3,0.7,13.3,2.6,1.1,27,"pretty faint, pretty small, round, 2 stars to northeast","pF, pS, R, 2 st nf"
9629,IC1789,IC1789,,,,20,,Gxy,Gxy,Sa,Èý½Ç×ù,TRI,2h17m51.3s,2.297583333,+32h23m44s,32.39555556,13.7,14.6,0.9,13.4,2.2,0.4,27,"faint, small, irregular figure, questionable","F, S, iF, ?"
9630,IC1790,IC1790,,,,20,,Gxy,Gxy,Sc,°×Ñò×ù,ARI,2h17m37.9s,2.293861111,+12h30m33s,12.50916667,14.9,15.6,0.7,13.4,1,0.3,65,"faint, small, diffuse","F, S, dif"
9631,IC1791,IC1791,,,,20,,Gxy,Gxy,S0,°×Ñò×ù,ARI,2h17m41.3s,2.294805556,+12h28m13s,12.47027778,13.3,14.3,1,13.1,1,1,,,"S, R, like neb * 11"
9632,IC1792,IC1792,,,,20,,Gxy,Gxy,Sab,Èý½Ç×ù,TRI,2h19m1.1s,2.316972222,+34h27m42s,34.46166667,13.6,14.4,0.8,13.1,1.1,0.7,33,"faint, small, pretty round, gradually brighter middle, mottled but not resolved","F, S, pR, gbM, r"
9633,IC1793,IC1793,,,,20,,Gxy,Gxy,Sab,Èý½Ç×ù,TRI,2h21m32.2s,2.358944444,+32h32m39s,32.54416667,13.8,14.6,0.8,13.4,1.5,0.5,34,"faint, small, extended 200¡ã, gradually a little brighter middle","F, S, E 200¡ã, glbM"
9634,IC1794,IC1794,,,,20,,Gxy,Gxy,S0-a,°×Ñò×ù,ARI,2h21m30.1s,2.358361111,+15h45m44s,15.76222222,13.8,14.7,0.9,13,0.9,0.7,108,"faint, very small, diffuse, mottled but not resolved","F, vS, dif, r"
9635,IC1795,IC1795,,,,13,ÓãÍ·ÐÇÔÆ,Nb,Dup,EN,ÏÉºó×ù,CAS,2h25m27.8s,2.424388889,+62h1m10s,62.01944444,99,99,99,99,10,10,,,Patch of neby
9636,IC1796,IC1796,,,,20,,Gxy,Gxy,E/SB0,·ï»Ë×ù,PHE,2h22m47.3s,2.379805556,-41h22m15s,-41.37083333,12,13,1,11.9,1.1,0.9,86,"very faint, very small, round","vF, vS, R"
9637,IC1797,IC1797,,,,20,,Gxy,Gxy,SBc,°×Ñò×ù,ARI,2h25m27.9s,2.424416667,+20h23m44s,20.39555556,14.7,15.4,0.7,12.4,0.7,0.2,138,"faint, very small, irregular figure, diffuse","F, vS, iF, dif"
